YEAR_MONTH,log1pVFRate,FIRE_Acres_Burned,PRECIP,WIND_EventCount,WIND_AvgMPH,WIND_RunMiles,AQI_PM25,AQI_PM10,EARTHQUAKE_Total,PESTICIDE_Total,RODENTICIDE_Total,Avg_Monthly_DSCI
2008-10-01,2.0117819598989732,0.0,0.04,0.0,3.483870968,83.3483871,78.0,76.0,0,1392.455039,689.3538,596.415
2008-11-01,1.9615060301340872,0.0,1.46,0.0,2.956666667,70.93,131.5,63.5,0,682.3236594,341.5625,600.0
2008-12-01,1.8716520469712346,0.0,1.7,0.0,3.080645161,73.77741935,97.0,44.0,1,724.6798512,461.0845,600.0
2009-01-01,1.5548388168959353,0.0,0.88,0.0,2.935483871,70.32903226,142.0,39.0,0,215.0082517,257.3125,599.8199999999999
2009-02-01,1.604475109907071,0.0,1.18,0.0,3.842857143,92.10714286,64.0,19.0,0,209.8869787,133.25,598.035
2009-03-01,1.418764733642635,0.0,0.4,0.0,3.958064516,94.9516129,65.0,30.0,0,2126.0603025,1776.4851,389.794
2009-04-01,1.5548388168959353,0.0,0.63,1.0,4.686666667,112.5833333,59.0,37.0,0,1070.0267511,90.0,486.995
2009-05-01,1.6517637128082092,0.0,0.24,0.0,3.874193548,92.90645161,61.0,39.0,2,741.5751542,1220.26,538.27
2009-06-01,2.1917088288929247,0.0,0.2,0.0,3.93,94.16333333,56.0,34.0,0,584.7121527,375.0,546.48
2009-07-01,2.317977554935982,0.0,0.0,0.0,3.548387097,85.0516129,68.0,40.0,0,552.1496037,1150.0,546.48
2009-08-01,2.3643350613557685,0.0,0.0,0.0,3.438709677,82.66774194,68.0,46.0,0,72.2903994,723.09,546.48
2009-09-01,2.2312911171702825,0.0,0.16,0.0,3.223333333,77.24,68.0,55.0,0,88.3997657,97.0,546.48
2009-10-01,2.0777899992058284,0.0,0.0,1.0,3.493548387,84.00967742,68.0,52.0,5,147.949801,40.0,549.8
2009-11-01,1.9993816303726282,0.0,0.32,0.0,2.773333333,66.65,93.5,46.0,1,0.0,15.0,563.4150000000001
2010-01-01,2.5650652525773183,0.0,1.9,0.0,3.222580645,77.28387097,82.0,25.0,0,2538.3921852,775.375,255.6275
2010-02-01,1.8847730083994643,0.0,2.5900000000000003,0.0,3.210714286,76.66428571,63.0,20.0,0,891.4204318999999,543.5955,57.77
2010-03-01,2.2191001252302245,0.0,1.11,0.0,3.551612903,85.34193548,56.0,23.0,0,4069.7613523,435.0654,45.25
2010-04-01,2.0196217310309765,0.0,1.93,0.0,3.976666667,95.41,57.0,22.5,0,4599.833634600001,1234.1835,45.3625
2010-05-01,1.9544686718395115,0.0,1.34,0.0,4.164516129,100.0806452,53.0,24.0,0,1902.3541926,1097.1783,22.7
2010-06-01,2.19292596814662,0.0,0.0,0.0,3.996666667,96.04,54.5,33.0,0,2499.2397107,4253.4705,0.0
2010-07-01,2.4281538772857854,0.0,0.08,0.0,3.390322581,81.3516129,65.0,36.5,1,1653.2134483,2951.1023,0.0
2010-08-01,3.2471123646886055,0.0,0.0,0.0,3.348387097,80.2,60.0,42.0,0,1645.367392,2365.4926,0.0
2010-09-01,3.551501753493496,0.0,0.0,0.0,2.756666667,66.2,63.5,54.0,0,1500.9361426,765.4444,0.0
2010-10-01,3.9823001304707035,0.0,0.28,0.0,2.806451613,67.41612903,62.0,33.0,0,1941.6399118,1914.3769,0.0
2010-11-01,3.554904093929446,0.0,1.02,0.0,2.643333333,63.38333333,83.5,35.0,0,1111.6917866,727.0387000000001,0.0
2010-12-01,3.2789454442408323,0.0,5.65,0.0,2.538709677,60.90322581,77.0,27.0,0,554.7963091,1893.6341,2.355
2011-01-01,3.283096701806788,0.0,0.5900000000000001,0.0,2.261290323,54.38387097,91.0,36.5,1,1872.775186,1370.9667,0.0
2011-02-01,2.592138373786881,0.0,1.34,0.0,2.925,70.13928571,58.0,32.0,0,859.6468233,380.0409,0.0
2011-03-01,2.71626823637679,0.0,1.97,0.0,3.606666667,86.40666667,56.0,24.0,0,2868.7738463,679.394,0.0
2011-04-01,2.8266773689904774,0.0,0.12,0.0,4.017391304,96.48695652,56.5,24.0,0,5830.938692,501.3506,0.0
2011-05-01,3.0279860654509867,0.0,0.6000000000000001,0.0,3.964516129,95.30645161,58.0,28.0,0,2331.4816474,2244.2609,0.0
2011-06-01,3.016524379556353,0.0,0.04,0.0,3.94,94.44,61.5,34.0,0,2402.7269079,1710.8729,0.0425
2011-07-01,3.3877963658711026,0.0,0.32,0.0,3.632258065,87.10645161,59.0,38.0,0,2467.5856964,2229.6852,0.17
2011-08-01,3.604960709513875,0.0,0.0,0.0,3.212903226,77.11612903,62.0,44.0,1,888.6351293,1599.9606,0.068
2011-09-01,3.696628932328749,0.0,0.0,0.0,3.153333333,75.57333333,69.5,55.0,0,55.151471400000005,1256.078,0.0
2011-10-01,3.669999849233834,0.0,0.91,0.0,2.861290323,68.72258065,75.0,54.0,0,1105.8715124,2777.3233,0.0
2011-11-01,3.42678822091389,0.0,1.04,0.0,3.606666667,86.59,73.5,33.5,0,1557.3642298,1214.404,0.0
2011-12-01,3.1906505913991694,0.0,0.08,0.0,2.848387097,68.4,147.0,58.5,0,413.9167069,1113.687,0.6875
2012-01-01,3.1735831831650847,0.0,0.0,0.0,2.885714286,69.04642857,107.0,57.0,0,386.687339,641.9518,38.766
2012-02-01,3.3562618709660197,0.0,0.32,1.0,3.9375,94.7,59.0,27.0,0,416.2912249,2393.966,142.4
2012-03-01,3.0814755052848413,0.0,1.53,0.0,4.058064516,97.50967742,55.0,22.0,0,4293.9057519,1640.0572,316.07
2012-04-01,2.880282462798611,0.0,1.62,0.0,4.033333333,96.74666667,62.0,28.0,0,5040.4734975,7602.513699999999,336.7875
2012-05-01,2.6775143718085936,0.0,0.0,0.0,4.358064516,104.4032258,62.0,41.0,0,5938.024399,2114.0748,238.488
2012-06-01,2.8670863157869237,0.0,0.0,0.0,4.723333333,113.4,59.5,43.5,0,892.8626269,3265.7019,237.79
2012-07-01,2.86042236066897,0.0,0.0,0.0,4.032258065,96.68709677,61.0,32.0,0,948.4673827,3040.8544,233.286
2012-08-01,2.9976564069321063,0.0,0.0,0.0,3.706451613,88.91612903,64.0,44.0,0,1746.8936546,534.5591,283.3275
2012-09-01,2.9376005116234807,0.0,0.0,0.0,3.396666667,81.66333333,64.0,55.0,0,811.29261346,4627.5472,340.8925
2012-10-01,2.880282462798611,0.0,0.0,0.0,3.461290323,83.15483871,67.0,38.5,1,2389.0966687499995,6993.0018,345.66
2012-11-01,2.8997558098036094,0.0,0.24,0.0,3.077777778,73.97037037,80.0,38.0,0,1693.1722318000002,1987.5617,390.2775
2012-12-01,2.5120086534771273,0.0,2.42,0.0,3.093548387,74.17419355,68.0,23.0,0,1049.4620264,2040.8213,523.44
2013-01-01,2.7298533008651624,0.0,1.62,0.0,2.916129032,70.40967742,91.0,54.0,0,1845.1921117,558.4427000000001,523.26
2013-02-01,2.5575121544877866,0.0,0.67,0.0,3.410714286,82.00357143,70.5,44.0,0,1184.3336924,1676.2135,572.6475
2013-03-01,2.539437106846168,0.0,0.91,0.0,3.732258065,89.32258065,65.0,36.0,1,2225.154093,2081.6102,489.2175
2013-04-01,2.7668526878904176,0.0,0.16,0.0,4.293333333,103.16,63.5,30.5,0,4528.8448284,2192.4347,513.528
2013-05-01,3.0978035372177697,0.0,0.56,0.0,4.729032258,113.4258065,67.0,34.0,1,2133.9923892,4819.3063,600.0
2013-06-01,2.8233438264412984,0.0,0.04,0.0,4.273333333,102.5533333,70.5,43.0,0,1369.376174,3569.2322,600.0
2013-07-01,2.8637118193010043,0.0,0.0,0.0,3.725806452,89.40645161,65.0,32.5,0,1681.03152529,3312.5784,600.0
2013-08-01,2.816454506882068,0.0,0.0,0.0,3.932258065,94.26451613,77.0,42.5,0,1761.50140013,1287.2447,887.94
2013-09-01,2.7595615169992254,0.0,0.16,0.0,3.666666667,87.86333333,66.5,42.0,0,1466.1802307,2958.7945,983.92
2013-10-01,2.9580307339973118,0.0,0.16,0.0,3.274193548,78.66129032,59.0,30.0,0,941.0161276,746.8937,983.92
2013-11-01,3.071368340721605,0.0,0.87,0.0,3.373333333,81.11,79.0,19.0,0,634.5217814,618.0994,987.36
2013-12-01,2.816454506882068,0.0,0.2,0.0,2.951612903,70.74516129,124.0,19.0,0,814.9327116000001,873.542,990.8
2014-01-01,2.721365436165709,0.0,0.08,2.0,3.758064516,90.33548387,139.0,81.0,0,1483.6720372,698.3824,1049.9575
2014-02-01,2.575632045031913,0.0,0.32,0.0,3.714285714,88.94285714,66.0,42.5,0,1887.29081667,422.7662,1279.755
2014-03-01,2.048590240431338,0.0,0.86,1.0,4.116666667,99.18333333,56.0,37.0,1,4007.4989896,3053.2319,1380.2375
2014-04-01,2.048590240431338,0.0,0.76,0.0,4.256666667,102.2766667,57.5,33.0,0,3907.9047433,1095.6696,1380.35
2014-05-01,2.186299005464904,0.0,0.04,0.0,4.574193548,109.8741935,56.0,40.0,0,2691.0424406,3503.7580000000003,1380.35
2014-06-01,2.0186172511495872,0.0,0.32,0.0,4.233333333,101.74,70.0,47.0,0,2654.12500218,2009.8745,1381.425
2014-07-01,2.033716039097948,0.0,0.0,0.0,3.848387097,92.22903226,61.0,31.0,1,1509.3667994000002,640.7482,1388.4
2014-08-01,2.2842584560575663,0.0,0.0,0.0,3.848387097,92.36129032,58.0,30.0,0,1806.1771937,1611.135,1388.4
2014-09-01,2.160232696519028,0.0,0.0,0.0,3.536666667,85.0,60.0,32.0,0,1933.5085164,1200.6616,1388.4
2014-10-01,2.1334687086371815,0.0,0.67,0.0,3.422580645,82.04193548,60.0,21.0,0,2090.7343281000003,579.5864,1388.4
2014-11-01,2.272525603113031,0.0,0.04,0.0,2.966666667,71.02666667,83.0,13.0,0,1155.4569788,380.7055,1388.4
2014-12-01,2.474843480914843,0.0,2.05,0.0,2.838709677,68.03225806,69.0,6.0,0,2370.4407716,152.1771,1388.4
2015-01-01,2.125937717973923,0.0,0.51,0.0,2.458064516,59.03870968,110.0,6.0,0,707.8378917,1473.3324,1388.4
2015-02-01,1.8641424405510199,0.0,1.14,0.0,2.310714286,55.55,84.5,9.0,1,1231.6780359,1009.8164,1368.2875
2015-03-01,1.9484999511014502,0.0,0.28,0.0,2.035483871,48.92258065,57.0,18.0,0,2076.246036,720.2514,1332.17
2015-04-01,1.932188155883175,0.0,0.2,0.0,2.893333333,69.34666667,54.5,25.0,0,2344.1631063,373.3985,1368.5
2015-05-01,1.809886148948859,0.0,0.7200000000000001,0.0,4.129032258,99.1483871,47.0,22.0,0,9765.7954695,2888.3295,1368.5
2015-06-01,2.041149202714396,0.0,0.2,0.0,4.196666667,100.93,56.0,28.0,0,3406.22463974,1021.8825,1368.5
2015-07-01,2.299626033707575,0.0,0.67,0.0,4.306451613,103.3903226,54.0,39.0,0,2707.4958313,1803.0,1368.5
2015-08-01,2.5935334008458977,0.0,0.79,0.0,3.622580645,87.03225806,61.0,60.0,0,2609.4789221,1024.538,1368.5
2015-09-01,2.792958307222819,0.0,0.12,0.0,3.356666667,80.52,56.0,34.5,0,1355.0165851999998,857.7083,1368.5
2015-10-01,2.885859143019867,0.0,0.6,0.0,3.34516129,80.42258065,57.0,18.0,0,1841.2265706,1669.6634,1368.5
2015-11-01,2.847096275206162,0.0,0.9,0.0,3.063333333,73.46333333,78.5,9.5,0,1142.1198789,470.9148,1368.5
2015-12-01,2.82039361142931,0.0,0.61,0.0,2.903225806,69.47419355,78.0,10.0,0,5675.0905851,227.1396,1368.5
